"Locus","Genot","Obs.Het","Exp.Het","P.value","s.d","Steps.done","islandpop","p.value.adjusted"
46,18,0.16667,0.15714,1,0,1001000,"borneo.txt",1
47,12,0,0.15942,0.04349,2e-04,1001000,"borneo.txt",1
50,17,0.41176,0.48663,0.62424,0.00049,1001000,"borneo.txt",1
51,10,0.2,0.18947,1,0,1001000,"borneo.txt",1
52,3,0.33333,0.33333,1,0,1001000,"borneo.txt",1
53,18,0.11111,0.10794,1,0,1001000,"borneo.txt",1
54,12,0,0.15942,0.04334,0.00022,1001000,"borneo.txt",1
56,16,0.1875,0.27218,0.30652,0.00045,1001000,"borneo.txt",1
57,13,0.15385,0.36923,0.07639,0.00026,1001000,"borneo.txt",1
58,11,0,0.17316,0.04784,0.00021,1001000,"borneo.txt",1
59,18,0.44444,0.48889,1,0,1001000,"borneo.txt",1
60,4,0.25,0.25,1,0,1001000,"borneo.txt",1
61,10,0.2,0.44211,0.13347,0.00033,1001000,"borneo.txt",1
62,14,0.14286,0.50794,0.00962,1e-04,1001000,"borneo.txt",1
63,10,0,0.33684,0.0093,1e-04,1001000,"borneo.txt",1
64,15,0.13333,0.45977,0.01006,1e-04,1001000,"borneo.txt",1
65,11,0,0.31169,0.00749,8e-05,1001000,"borneo.txt",1
66,15,0.33333,0.43448,0.53881,0.00052,1001000,"borneo.txt",1
67,18,0.27778,0.43651,0.25439,0.00044,1001000,"borneo.txt",1
68,11,0.09091,0.09091,1,0,1001000,"borneo.txt",1
71,18,0.11111,0.35556,0.01129,0.00011,1001000,"borneo.txt",1
72,14,0.07143,0.19841,0.11153,0.00031,1001000,"borneo.txt",1
74,17,0.52941,0.48663,1,0,1001000,"borneo.txt",1
75,10,0,0.50526,0.00167,4e-05,1001000,"borneo.txt",1
76,14,0.07143,0.45238,0.00291,5e-05,1001000,"borneo.txt",1
77,14,0.14286,0.50794,0.00928,1e-04,1001000,"borneo.txt",1
78,12,0.16667,0.28986,0.25539,0.00044,1001000,"borneo.txt",1
80,16,0.25,0.50806,0.05549,0.00023,1001000,"borneo.txt",1
81,6,0.16667,0.40909,0.27288,0.00045,1001000,"borneo.txt",1
82,11,0,0.17316,0.04804,0.00022,1001000,"borneo.txt",1
83,14,0.42857,0.47619,1,0,1001000,"borneo.txt",1
84,8,0,0.4,0.01537,0.00012,1001000,"borneo.txt",1
87,7,0.71429,0.53846,0.51135,0.00049,1001000,"borneo.txt",1
89,14,0.14286,0.13757,1,0,1001000,"borneo.txt",1
90,15,0.26667,0.23908,1,0,1001000,"borneo.txt",1
92,11,0.18182,0.41558,0.10793,0.00031,1001000,"borneo.txt",1
93,13,0.23077,0.40923,0.16405,0.00036,1001000,"borneo.txt",1
96,4,0,0.42857,0.14319,0.00035,1001000,"borneo.txt",1
97,8,0.125,0.125,1,0,1001000,"borneo.txt",1
98,9,0.33333,0.50327,0.49349,5e-04,1001000,"borneo.txt",1
100,10,0,0.18947,0.05232,0.00021,1001000,"borneo.txt",1
102,3,0,0.53333,0.20064,0.00038,1001000,"borneo.txt",1
107,13,0,0.49231,0.00025,2e-05,1001000,"borneo.txt",0.64225
108,10,0.2,0.44211,0.13212,0.00035,1001000,"borneo.txt",1
109,5,0.2,0.2,1,0,1001000,"borneo.txt",1
110,11,0,0.31169,0.00774,9e-05,1001000,"borneo.txt",1
111,15,0.06667,0.06667,1,0,1001000,"borneo.txt",1
112,10,0.1,0.39474,0.04629,0.00021,1001000,"borneo.txt",1
113,13,0.07692,0.07692,1,0,1001000,"borneo.txt",1
114,14,0.21429,0.30423,0.34781,0.00049,1001000,"borneo.txt",1
116,7,0.28571,0.43956,0.44101,0.00048,1001000,"borneo.txt",1
118,13,0.76923,0.49231,0.07444,0.00027,1001000,"borneo.txt",1
119,8,0.25,0.4,0.38461,0.00048,1001000,"borneo.txt",1
121,12,0.41667,0.3442,1,0,1001000,"borneo.txt",1
122,12,0.16667,0.50725,0.0284,0.00017,1001000,"borneo.txt",1
123,12,0,0.28986,0.00629,8e-05,1001000,"borneo.txt",1
124,3,0.33333,0.33333,1,0,1001000,"borneo.txt",1
125,13,0.15385,0.27077,0.23408,0.00041,1001000,"borneo.txt",1
127,18,0.11111,0.10794,1,0,1001000,"borneo.txt",1
129,17,0.11765,0.11408,1,0,1001000,"borneo.txt",1
130,15,0.06667,0.06667,1,0,1001000,"borneo.txt",1
133,18,0.88889,0.50794,0.00224,5e-05,1001000,"borneo.txt",1
135,12,0.66667,0.52174,0.56285,0.00048,1001000,"borneo.txt",1
136,3,1,0.6,0.39946,0.00048,1001000,"borneo.txt",1
140,2,0,0.66667,0.33326,0.00046,1001000,"borneo.txt",1
142,16,0.3125,0.27218,1,0,1001000,"borneo.txt",1
143,5,0,0.35556,0.1113,0.00031,1001000,"borneo.txt",1
144,13,0.38462,0.52,0.57782,5e-04,1001000,"borneo.txt",1
145,11,0.09091,0.36797,0.03781,0.00019,1001000,"borneo.txt",1
146,7,0.14286,0.14286,1,0,1001000,"borneo.txt",1
147,18,0.38889,0.5127,0.37016,0.00049,1001000,"borneo.txt",1
149,11,0.18182,0.41558,0.1081,0.00029,1001000,"borneo.txt",1
150,15,0.2,0.18621,1,0,1001000,"borneo.txt",1
151,10,0.2,0.44211,0.13123,0.00034,1001000,"borneo.txt",1
152,15,0.06667,0.06667,1,0,1001000,"borneo.txt",1
154,18,0.22222,0.35556,0.16027,0.00037,1001000,"borneo.txt",1
155,16,0.25,0.22581,1,0,1001000,"borneo.txt",1
156,10,0.2,0.52632,0.07494,0.00026,1001000,"borneo.txt",1
157,14,0.14286,0.25397,0.21783,4e-04,1001000,"borneo.txt",1
158,13,0.07692,0.40923,0.00821,9e-05,1001000,"borneo.txt",1
159,18,0.33333,0.28571,1,0,1001000,"borneo.txt",1
161,10,0.4,0.52632,0.56378,0.00048,1001000,"borneo.txt",1
162,6,0,0.30303,0.0907,0.00029,1001000,"borneo.txt",1
164,16,0,0.22581,0.00311,5e-05,1001000,"borneo.txt",1
165,10,0.1,0.1,1,0,1001000,"borneo.txt",1
166,18,0.22222,0.20317,1,0,1001000,"borneo.txt",1
171,8,0.25,0.23333,1,0,1001000,"borneo.txt",1
172,10,0.3,0.39474,0.47894,0.00051,1001000,"borneo.txt",1
175,13,0.15385,0.36923,0.07627,0.00026,1001000,"borneo.txt",1
177,11,0.18182,0.48485,0.05883,0.00024,1001000,"borneo.txt",1
178,2,0.5,0.5,1,0,1001000,"borneo.txt",1
179,14,0.42857,0.47619,1,0,1001000,"borneo.txt",1
181,16,0.0625,0.27218,0.0164,0.00013,1001000,"borneo.txt",1
183,17,0.17647,0.25847,0.28831,0.00044,1001000,"borneo.txt",1
184,18,0.16667,0.15714,1,0,1001000,"borneo.txt",1
185,12,0.25,0.48913,0.20569,4e-04,1001000,"borneo.txt",1
194,14,0,0.25397,0.00445,7e-05,1001000,"borneo.txt",1
196,9,0.22222,0.47059,0.1682,0.00038,1001000,"borneo.txt",1
197,15,0.13333,0.12874,1,0,1001000,"borneo.txt",1
199,12,0,0.15942,0.04397,0.00021,1001000,"borneo.txt",1
201,7,0.42857,0.36264,1,0,1001000,"borneo.txt",1
202,15,0.26667,0.49655,0.11047,0.00031,1001000,"borneo.txt",1
203,16,0.1875,0.27218,0.30561,0.00046,1001000,"borneo.txt",1
204,14,0,0.25397,0.00434,7e-05,1001000,"borneo.txt",1
205,13,0.38462,0.40923,1,0,1001000,"borneo.txt",1
209,14,0.07143,0.07143,1,0,1001000,"borneo.txt",1
210,15,0.26667,0.45977,0.23203,0.00044,1001000,"borneo.txt",1
212,16,0.1875,0.1754,1,0,1001000,"borneo.txt",1
213,16,0.5,0.3871,0.51284,0.00049,1001000,"borneo.txt",1
215,15,0.2,0.43448,0.05774,0.00024,1001000,"borneo.txt",1
216,11,0.54545,0.48485,1,0,1001000,"borneo.txt",1
218,14,0.21429,0.30423,0.34839,0.00049,1001000,"borneo.txt",1
220,17,0.23529,0.29947,0.41147,5e-04,1001000,"borneo.txt",1
222,14,0.21429,0.19841,1,0,1001000,"borneo.txt",1
223,12,0.16667,0.28986,0.25465,0.00043,1001000,"borneo.txt",1
224,17,0.35294,0.37077,1,0,1001000,"borneo.txt",1
225,9,0,0.20915,0.05865,0.00023,1001000,"borneo.txt",1
226,11,0.27273,0.50649,0.21512,0.00041,1001000,"borneo.txt",1
228,10,0.3,0.39474,0.48114,5e-04,1001000,"borneo.txt",1
229,7,0.14286,0.36264,0.23185,0.00042,1001000,"borneo.txt",1
230,6,0,0.48485,0.03085,0.00019,1001000,"borneo.txt",1
231,8,0,0.23333,0.06687,0.00025,1001000,"borneo.txt",1
232,13,0.15385,0.49231,0.01956,0.00015,1001000,"borneo.txt",1
233,13,0.07692,0.21231,0.1197,0.00032,1001000,"borneo.txt",1
234,6,0,0.48485,0.03032,0.00017,1001000,"borneo.txt",1
235,4,0,0.42857,0.14305,0.00034,1001000,"borneo.txt",1
236,11,0.27273,0.24675,1,0,1001000,"borneo.txt",1
238,18,0.38889,0.5127,0.36931,0.00047,1001000,"borneo.txt",1
240,10,0,0.50526,0.00162,4e-05,1001000,"borneo.txt",1
241,7,0.14286,0.14286,1,0,1001000,"borneo.txt",1
242,8,0,0.4,0.01553,0.00013,1001000,"borneo.txt",1
243,18,0.33333,0.4127,0.55881,0.00048,1001000,"borneo.txt",1
244,2,0,0.66667,0.3324,0.00047,1001000,"borneo.txt",1
245,7,0,0.52747,0.01143,1e-04,1001000,"borneo.txt",1
246,7,0,0.26374,0.07722,0.00027,1001000,"borneo.txt",1
247,16,0.1875,0.1754,1,0,1001000,"borneo.txt",1
248,14,0.14286,0.51852,0.00876,1e-04,1001000,"borneo.txt",1
249,12,0.08333,0.3442,0.03079,0.00018,1001000,"borneo.txt",1
250,8,0,0.5,0.00678,8e-05,1001000,"borneo.txt",1
251,18,0.22222,0.20317,1,0,1001000,"borneo.txt",1
252,14,0.28571,0.34921,0.48988,0.00054,1001000,"borneo.txt",1
253,17,0.35294,0.37077,1,0,1001000,"borneo.txt",1
255,16,0,0.12097,0.03232,0.00018,1001000,"borneo.txt",1
257,16,0,0.50806,4e-05,1e-05,1001000,"borneo.txt",0.1036
258,18,0.22222,0.4127,0.07416,0.00026,1001000,"borneo.txt",1
259,8,0.125,0.45833,0.07736,0.00027,1001000,"borneo.txt",1
260,11,0.18182,0.51948,0.0615,0.00025,1001000,"borneo.txt",1
261,16,0,0.12097,0.03189,0.00018,1001000,"borneo.txt",1
263,5,0,0.35556,0.11051,3e-04,1001000,"borneo.txt",1
265,12,0,0.15942,0.04319,0.00021,1001000,"borneo.txt",1
267,15,0.06667,0.48046,0.00104,3e-05,1001000,"borneo.txt",1
269,8,0.625,0.525,1,0,1001000,"borneo.txt",1
270,8,0.125,0.45833,0.07631,0.00027,1001000,"borneo.txt",1
272,12,0.33333,0.52174,0.2812,0.00043,1001000,"borneo.txt",1
273,7,0.14286,0.49451,0.10488,3e-04,1001000,"borneo.txt",1
274,18,0.11111,0.10794,1,0,1001000,"borneo.txt",1
275,5,0.4,0.53333,1,0,1001000,"borneo.txt",1
276,11,0.45455,0.45455,1,0,1001000,"borneo.txt",1
277,18,0.22222,0.20317,1,0,1001000,"borneo.txt",1
278,9,0.33333,0.50327,0.49222,0.00052,1001000,"borneo.txt",1
282,18,0.05556,0.5127,7e-05,1e-05,1001000,"borneo.txt",0.18102
2,1,1,1,1,0,1001000,"doubtful_sound.txt",1
17,1,1,1,1,0,1001000,"doubtful_sound.txt",1
18,1,1,1,1,0,1001000,"doubtful_sound.txt",1
38,1,1,1,1,0,1001000,"doubtful_sound.txt",1
49,1,1,1,1,0,1001000,"doubtful_sound.txt",1
54,1,1,1,1,0,1001000,"doubtful_sound.txt",1
55,1,1,1,1,0,1001000,"doubtful_sound.txt",1
88,1,1,1,1,0,1001000,"doubtful_sound.txt",1
102,1,1,1,1,0,1001000,"doubtful_sound.txt",1
109,1,1,1,1,0,1001000,"doubtful_sound.txt",1
118,1,1,1,1,0,1001000,"doubtful_sound.txt",1
128,1,1,1,1,0,1001000,"doubtful_sound.txt",1
131,1,1,1,1,0,1001000,"doubtful_sound.txt",1
146,1,1,1,1,0,1001000,"doubtful_sound.txt",1
162,1,1,1,1,0,1001000,"doubtful_sound.txt",1
209,1,1,1,1,0,1001000,"doubtful_sound.txt",1
216,1,1,1,1,0,1001000,"doubtful_sound.txt",1
5,1,1,1,1,0,1001000,"great_mercury_island.txt",1
10,1,1,1,1,0,1001000,"great_mercury_island.txt",1
11,1,1,1,1,0,1001000,"great_mercury_island.txt",1
41,1,1,1,1,0,1001000,"great_mercury_island.txt",1
52,1,1,1,1,0,1001000,"great_mercury_island.txt",1
54,1,1,1,1,0,1001000,"great_mercury_island.txt",1
59,1,1,1,1,0,1001000,"great_mercury_island.txt",1
61,1,1,1,1,0,1001000,"great_mercury_island.txt",1
62,1,1,1,1,0,1001000,"great_mercury_island.txt",1
70,1,1,1,1,0,1001000,"great_mercury_island.txt",1
102,1,1,1,1,0,1001000,"great_mercury_island.txt",1
109,1,1,1,1,0,1001000,"great_mercury_island.txt",1
135,1,1,1,1,0,1001000,"great_mercury_island.txt",1
141,1,1,1,1,0,1001000,"great_mercury_island.txt",1
143,1,1,1,1,0,1001000,"great_mercury_island.txt",1
169,1,1,1,1,0,1001000,"great_mercury_island.txt",1
180,1,1,1,1,0,1001000,"great_mercury_island.txt",1
184,1,1,1,1,0,1001000,"great_mercury_island.txt",1
187,1,1,1,1,0,1001000,"great_mercury_island.txt",1
202,1,1,1,1,0,1001000,"great_mercury_island.txt",1
209,1,1,1,1,0,1001000,"great_mercury_island.txt",1
228,1,1,1,1,0,1001000,"great_mercury_island.txt",1
253,1,1,1,1,0,1001000,"great_mercury_island.txt",1
275,1,1,1,1,0,1001000,"great_mercury_island.txt",1
1,4,0,0.57143,0.0862,0.00029,1001000,"halmahera.txt",1
2,8,0,0.23333,0.06729,0.00024,1001000,"halmahera.txt",1
3,9,0.22222,0.47059,0.16784,0.00036,1001000,"halmahera.txt",1
4,11,0.18182,0.31169,0.27819,0.00044,1001000,"halmahera.txt",1
5,7,0,0.26374,0.0766,0.00026,1001000,"halmahera.txt",1
7,12,0.25,0.3442,0.40379,0.00047,1001000,"halmahera.txt",1
8,9,0.11111,0.11111,1,0,1001000,"halmahera.txt",1
9,11,0.36364,0.48485,0.53657,0.00049,1001000,"halmahera.txt",1
10,7,0.28571,0.43956,0.44174,0.00049,1001000,"halmahera.txt",1
11,4,0,0.42857,0.14375,0.00036,1001000,"halmahera.txt",1
12,8,0,0.23333,0.06641,0.00025,1001000,"halmahera.txt",1
14,12,0.41667,0.3442,1,0,1001000,"halmahera.txt",1
15,10,0.1,0.26842,0.15678,0.00036,1001000,"halmahera.txt",1
16,11,0.09091,0.50649,0.00919,1e-04,1001000,"halmahera.txt",1
20,5,0.4,0.53333,1,0,1001000,"halmahera.txt",1
21,12,0.41667,0.43116,1,0,1001000,"halmahera.txt",1
22,7,0.71429,0.49451,0.44042,0.00048,1001000,"halmahera.txt",1
24,5,0.2,0.46667,0.3338,0.00047,1001000,"halmahera.txt",1
25,8,0.5,0.5,1,0,1001000,"halmahera.txt",1
28,7,0,0.43956,0.02123,0.00014,1001000,"halmahera.txt",1
30,7,0,0.26374,0.07644,0.00025,1001000,"halmahera.txt",1
31,8,0,0.4,0.01545,0.00013,1001000,"halmahera.txt",1
33,3,0.33333,0.33333,1,0,1001000,"halmahera.txt",1
34,8,0,0.23333,0.06693,0.00026,1001000,"halmahera.txt",1
35,3,0.33333,0.33333,1,0,1001000,"halmahera.txt",1
36,12,0.16667,0.15942,1,0,1001000,"halmahera.txt",1
37,2,0,0.66667,0.33378,0.00045,1001000,"halmahera.txt",1
38,12,0.25,0.22826,1,0,1001000,"halmahera.txt",1
39,8,0,0.5,0.00693,8e-05,1001000,"halmahera.txt",1
42,9,0.11111,0.11111,1,0,1001000,"halmahera.txt",1
43,7,0.14286,0.14286,1,0,1001000,"halmahera.txt",1
44,12,0.58333,0.43116,0.48737,0.00049,1001000,"halmahera.txt",1
45,10,0,0.50526,0.00165,4e-05,1001000,"halmahera.txt",1
47,8,0,0.5,0.00708,8e-05,1001000,"halmahera.txt",1
48,7,0.14286,0.36264,0.23039,0.00041,1001000,"halmahera.txt",1
50,12,0.41667,0.51812,0.59345,0.00049,1001000,"halmahera.txt",1
51,7,0.28571,0.26374,1,0,1001000,"halmahera.txt",1
52,5,0,0.35556,0.11101,0.00031,1001000,"halmahera.txt",1
53,12,0,0.15942,0.04363,0.00021,1001000,"halmahera.txt",1
54,9,0.22222,0.20915,1,0,1001000,"halmahera.txt",1
55,7,0,0.26374,0.07718,0.00025,1001000,"halmahera.txt",1
56,8,0.25,0.5,0.21715,0.00041,1001000,"halmahera.txt",1
57,9,0.66667,0.52288,0.53896,0.00052,1001000,"halmahera.txt",1
59,10,0.1,0.26842,0.15828,0.00036,1001000,"halmahera.txt",1
61,9,0.22222,0.20915,1,0,1001000,"halmahera.txt",1
62,8,0.125,0.45833,0.07608,0.00026,1001000,"halmahera.txt",1
63,8,0.375,0.325,1,0,1001000,"halmahera.txt",1
64,11,0.45455,0.45455,1,0,1001000,"halmahera.txt",1
65,7,0,0.26374,0.07633,0.00026,1001000,"halmahera.txt",1
66,9,0.11111,0.11111,1,0,1001000,"halmahera.txt",1
67,12,0.16667,0.52174,0.02646,0.00016,1001000,"halmahera.txt",1
69,7,0,0.26374,0.07698,0.00026,1001000,"halmahera.txt",1
71,11,0.27273,0.52381,0.22209,0.00043,1001000,"halmahera.txt",1
73,2,0.5,0.5,1,0,1001000,"halmahera.txt",1
74,11,0.63636,0.45455,0.48077,0.00051,1001000,"halmahera.txt",1
75,3,0,0.53333,0.20024,0.00042,1001000,"halmahera.txt",1
76,7,0.14286,0.14286,1,0,1001000,"halmahera.txt",1
77,11,0.09091,0.52381,0.01074,0.00011,1001000,"halmahera.txt",1
78,11,0,0.48485,0.00107,3e-05,1001000,"halmahera.txt",1
79,7,0,0.52747,0.01215,0.00011,1001000,"halmahera.txt",1
80,8,0.5,0.4,1,0,1001000,"halmahera.txt",1
83,7,0.14286,0.36264,0.23046,0.00041,1001000,"halmahera.txt",1
84,6,0,0.54545,0.02116,0.00015,1001000,"halmahera.txt",1
86,6,0.33333,0.30303,1,0,1001000,"halmahera.txt",1
87,2,0.5,0.5,1,0,1001000,"halmahera.txt",1
89,9,0.11111,0.11111,1,0,1001000,"halmahera.txt",1
90,11,0.18182,0.17316,1,0,1001000,"halmahera.txt",1
92,11,0.36364,0.51948,0.54328,5e-04,1001000,"halmahera.txt",1
93,8,0.125,0.45833,0.07705,0.00025,1001000,"halmahera.txt",1
94,4,0,0.42857,0.14262,0.00034,1001000,"halmahera.txt",1
96,3,0,0.53333,0.19932,4e-04,1001000,"halmahera.txt",1
100,10,0,0.44211,0.00318,6e-05,1001000,"halmahera.txt",1
101,10,0.2,0.50526,0.08092,0.00028,1001000,"halmahera.txt",1
103,6,0,0.30303,0.09138,0.00028,1001000,"halmahera.txt",1
104,9,0,0.20915,0.0588,0.00024,1001000,"halmahera.txt",1
106,9,0.11111,0.11111,1,0,1001000,"halmahera.txt",1
107,10,0,0.44211,0.00291,5e-05,1001000,"halmahera.txt",1
108,10,0.2,0.18947,1,0,1001000,"halmahera.txt",1
109,6,0.16667,0.16667,1,0,1001000,"halmahera.txt",1
112,9,0,0.47059,0.00456,7e-05,1001000,"halmahera.txt",1
113,12,0.16667,0.15942,1,0,1001000,"halmahera.txt",1
114,9,0.22222,0.20915,1,0,1001000,"halmahera.txt",1
115,5,0.2,0.46667,0.3319,0.00048,1001000,"halmahera.txt",1
116,7,0.14286,0.14286,1,0,1001000,"halmahera.txt",1
118,8,0.75,0.53333,0.47825,5e-04,1001000,"halmahera.txt",1
119,6,0.16667,0.40909,0.27228,0.00045,1001000,"halmahera.txt",1
121,7,0.14286,0.14286,1,0,1001000,"halmahera.txt",1
122,8,0.125,0.125,1,0,1001000,"halmahera.txt",1
123,8,0,0.23333,0.06666,0.00026,1001000,"halmahera.txt",1
124,5,0,0.35556,0.11207,0.00031,1001000,"halmahera.txt",1
125,6,0,0.30303,0.09192,0.00028,1001000,"halmahera.txt",1
126,12,0,0.15942,0.04391,0.00021,1001000,"halmahera.txt",1
129,10,0.3,0.26842,1,0,1001000,"halmahera.txt",1
130,9,0.11111,0.11111,1,0,1001000,"halmahera.txt",1
133,12,0.83333,0.50725,0.06376,0.00024,1001000,"halmahera.txt",1
135,7,0.42857,0.53846,1,0,1001000,"halmahera.txt",1
136,3,0.33333,0.6,1,0,1001000,"halmahera.txt",1
